toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
294448,060351206,239,276,515,227,324,224,2.29910714285714,19568.2878131866,0,100,97.8,0.88,100,35.09,69.1729323308271,99.55,0.45,19805.88,260.1,77.54,8.47,12.29,1.69
298343,060351301,471,508,979,306,355,282,3.47163120567376,105441.739210427,0,96.72,77.12,10.78,100,48.97,64.5468998410175,91.84,8.16,106723.88,91.75,45.85,6.77,38.15,9.23
298408,060350402,435,437,872,273,219,210,4.15238095238095,73523.7637955546,0.47,8.79,73.99,4.03,99.27,63.51,68.8729874776386,90.48,9.52,74425.04,117.2,31.66,9.05,49.75,9.55
298417,060350411,657,696,1353,430,442,414,3.26811594202899,196454.139318943,0,87.18,89.53,2.09,99.77,55.59,64.8947951273533,94.44,5.56,198867.85,68.02,41.02,5.09,42.9,10.99
298428,060350506,850,829,1679,445,369,356,4.71629213483146,152844.225636423,0,5.29,55.28,13.03,99.78,53.59,58.0387685290764,83.71,16.29,154715.35,108.53,15.37,5.05,55.05,24.54
298430,060350508,467,518,985,343,373,319,3.08777429467085,93920.2823539972,0,88.86,91.25,2.04,99.42,53.9,67.3048600883652,97.18,2.82,95068.84,103.58,49.31,8.97,35.86,5.86
298434,060350601,520,566,1086,336,348,309,3.51456310679612,151497.09744178,0,68.66,73.21,4.46,100,51.18,61.4705882352941,92.56,7.44,153347.07,70.84,35.99,8.28,46.5,9.24
298448,060350702,560,591,1151,347,362,319,3.60815047021944,134974.633728206,0.47,90.7,60.23,10.09,99.71,56.46,64.1901931649331,88.09,11.91,136617.81,84.26,31.56,6.31,50.83,11.3
298453,060350707,292,306,598,199,387,193,3.09844559585492,82421.4102201462,0,71.36,71.36,11.56,100,52.2,61.4987080103359,96.37,3.63,83425.55,71.7,28.98,4.55,51.7,14.77
298458,060350712,134,151,285,98,266,92,3.09782608695652,70673.0382146239,0,76.29,94.9,3.06,100,45.32,61.0837438423645,98.91,1.09,71535.01,39.86,54.08,9.18,27.55,9.18
298461,060350803,558,574,1132,344,355,335,3.37910447761194,30853.7579368725,0,99.7,97.09,4.36,98.84,52.97,57.7151335311573,96.72,3.28,31229.83,362.82,20.2,6.19,53.09,20.52
298488,060350914,369,407,776,254,229,212,3.66037735849057,81464.1448346972,0,90.16,67.32,8.66,99.61,54.09,62.8930817610063,85.85,14.15,82455.16,94.06,29.33,3.85,50.96,15.87
298494,060351006,337,414,751,310,370,306,2.45424836601307,19765.0442157984,0,99.01,90,4.52,100,49.52,66.0952380952381,96.73,3.27,20005.12,375.5,55.04,12.79,30.23,1.94
298497,060351009,135,177,312,140,172,140,2.22857142857143,16900.1314401627,0,100,99.29,1.43,100,37.94,65.6126482213439,95.71,4.29,17105.38,182.46,76.61,8.06,13.71,1.61
298506,060351106,388,484,872,350,401,341,2.55718475073314,29179.1789678335,0,99.71,95.14,2.86,100,42.79,63.5811836115326,97.95,2.05,29533.1,295.59,64.69,10.39,21.96,2.97
298510,060351110,373,463,836,350,442,344,2.43023255813953,28316.2079406381,0,100,99.14,0.29,100,39.59,75.3943217665615,100,0,28659.99,291.29,83.82,5.78,8.67,1.73
298514,060351207,153,209,362,160,201,158,2.29113924050633,12505.0665499568,0,99.38,100,0,100,35.74,71.4828897338403,100,0,12656.96,285.04,84.38,5,9.38,1.25
298515,060351208,500,619,1119,342,473,336,3.33035714285714,50931.2697933018,0,99.12,97.08,0.58,100,43.29,69.0972222222222,99.7,0.3,51549.84,217.28,79.71,6.67,12.46,1.16
298516,060351209,104,149,253,106,131,106,2.38679245283019,10952.4141492844,0,100,93.4,0.94,100,34.27,66.2921348314607,98.11,1.89,11085.46,227.93,72.5,7.5,19.17,0.83
298523,060351306,294,339,633,235,256,214,2.95794392523365,68583.7803659439,0,68.09,85.53,3.4,100,49.89,69.7516930022573,98.6,1.4,69418.82,91.21,56.94,9.57,28.23,5.26
298528,060351401,325,397,722,262,314,255,2.83137254901961,85817.1322259903,0,99.62,97.71,1.15,100,50.66,69.9432892249527,96.86,3.14,86860.12,83.08,65.71,6.94,26.53,0.82
298530,060351404,403,449,852,302,364,297,2.86868686868687,73813.9039259851,0,99.34,94.04,1.32,100,40.31,65.4761904761905,98.32,1.68,74711.74,114.06,62.31,9.2,25.52,2.97
298532,060351406,248,298,546,225,288,221,2.47058823529412,38664.8480863124,0,99.56,99.11,0.89,99.56,41.75,69.811320754717,100,0,39135.42,139.64,77.88,6.19,15.49,0.44
298536,060351410,392,438,830,333,383,316,2.62658227848101,82457.0003823005,0,99.4,97.9,1.2,100,40.68,70.4180064308682,99.37,0.63,83460.83,99.4,74.23,6.13,17.48,2.15
298546,060351507,471,521,992,291,325,279,3.55555555555556,204039.542634845,0,48.11,96.56,1.37,99.31,53.18,67.8176795580111,97.85,2.15,206520.86,48.04,57.09,10.12,27.94,4.86
298548,060351510,325,353,678,240,280,239,2.83682008368201,110547.027856648,0,60.83,96.67,0,100,50.2,68.9795918367347,95.82,4.18,111893.11,60.59,66.22,6.76,23.87,3.15
298557,060351607,266,315,581,206,235,201,2.89054726368159,64866.1857875586,0,11.17,86.89,0.97,99.51,52.62,66.4921465968586,93.53,6.47,65655.36,88.43,51.38,7.18,35.36,6.08
298573,060351802,421,494,915,309,340,296,3.09121621621622,90082.8201612234,0,19.09,89.97,0.97,99.03,50.16,65.6549520766773,94.59,5.41,91182.13,100.33,53.95,9.54,28.95,7.57
298604,060352010,442,500,942,314,311,277,3.40072202166065,92512.9341903925,0,79.55,92.68,2.87,99.04,52.98,64.4200626959248,94.22,5.78,93643.88,100.64,46.95,8.02,36.26,8.78
298605,060352011,390,449,839,281,288,253,3.31620553359684,92245.716426909,0,80.36,90.39,6.41,99.64,49.28,58.0935251798561,96.05,3.95,93372.77,89.83,37.13,13.08,43.46,6.33
298612,060352105,168,213,381,184,149,94,4.0531914893617,19323.2455339432,0,100,99.46,0,100,36.86,61.0921501706485,100,0,19560.28,194.39,61.93,13.07,19.32,5.68
298625,060352208,204,272,476,215,291,215,2.21395348837209,32945.1376914978,0,99.07,99.07,0,100,43.28,71.2365591397849,100,0,33350.11,142.51,77.14,6.86,14.86,1.14
298630,060352301,230,243,473,165,385,142,3.33098591549296,104581.71856463,0,84.85,92.73,3.03,100,47.11,69.0751445086705,97.89,2.11,105864.55,44.66,62.03,6.96,19.62,11.39
298634,060352307,568,598,1166,326,295,283,4.12014134275618,90197.8295799112,0,86.62,38.96,14.72,99.39,56.58,59.0909090909091,77.74,22.26,91304.11,127.71,11.9,3.4,53.06,31.63
298637,060352310,443,475,918,325,370,314,2.92356687898089,101941.041822076,0,91.38,96,1.23,99.08,52.24,65.6877897990726,96.82,3.18,103189.42,88.95,53,7.77,32.86,6.36
298647,060352408,542,571,1113,350,372,343,3.24489795918367,104181.799948275,0,55.46,85.43,2.57,99.43,60.06,66.9971671388102,93,7,105456.57,105.5,31.92,11.92,48.08,8.08
298653,060352503,675,767,1442,447,423,397,3.63224181360202,214935.467097849,1.97,32.81,84.79,3.58,99.33,53.25,60.3036876355748,90.18,9.82,217557.22,66.27,32.98,5.85,47.07,14.1
298656,060352506,479,533,1012,330,364,329,3.07598784194529,146232.775210898,0,63.33,89.09,1.82,99.09,56.57,65.2905198776758,96.05,3.95,148015.56,68.38,40.77,4.62,46.54,8.08
298660,060352510,910,935,1845,555,571,514,3.58949416342412,244001.534411073,0,65.15,78.92,6.85,99.64,53.29,60.4611443210931,90.27,9.73,246978.78,74.7,29.84,9.48,47.58,13.1
298663,060352602,770,760,1530,414,393,379,4.03693931398417,34735.3923376501,38.89,94.09,49.52,10.63,97.34,57.02,59.3220338983051,80.74,19.26,35159.16,434.66,11.87,4.22,45.38,38.52
298685,060352711,887,912,1799,469,441,412,4.36650485436893,103074.093713284,81.94,8.91,0,21.75,99.79,54.15,54.9222797927461,49.76,50.24,104326.22,172.48,4.97,1.05,45.55,48.43
